S,K,T,r,sigma
239.50180053710938,245.0,0.0,0.05,0.23633576171874998
239.50180053710938,290.0,0.11232876712328767,0.05,0.26709717285156254
239.50180053710938,230.0,0.019178082191780823,0.05,0.26807372558593745
239.50180053710938,265.0,0.3643835616438356,0.05,0.2592237164306641
239.50180053710938,235.0,0.7863013698630137,0.05,0.3117744604492187
239.50180053710938,240.0,0.2876712328767123,0.05,0.29218237121582025
239.50180053710938,225.0,0.038356164383561646,0.05,0.29834686035156244
239.50180053710938,280.0,0.07671232876712329,0.05,0.2739330419921875
239.50180053710938,200.0,0.057534246575342465,0.05,0.42627526855468756
239.50180053710938,255.0,0.6136986301369863,0.05,0.28247787841796873
239.50180053710938,20.0,1.8602739726027397,0.05,1.0000000000000003e-05
239.50180053710938,360.0,1.0356164383561643,0.05,0.24658956542968752
239.50180053710938,320.0,0.1917808219178082,0.05,0.27686270019531245
239.50180053710938,310.0,1.2821917808219179,0.05,0.2631604446411133
239.50180053710938,155.0,0.536986301369863,0.05,0.48474636352539063
